circular	orbicular
subelliptic	elliptic
suboblong	oblong
round	orbicular
subflabellate	flabellate
subspatulate	spatulate
suborbicular	orbicular
rounded-ovate	orbicular-ovate
reniform-rounded	orbicular-reniform
ovate-rounded	ovate-orbicular
subovate	ovate
subreniform	reniform
subcircular	orbicular
oblong-terete	oblong
lorate	linear
ensiform	linear
flabelliorm	flabellate
orbiculate	orbicular
rounded-reniform	orbicular-reniform
suborbiculate	orbicular
subrhomboidal	rhomboid
ovate-roundish	ovate-orbicular
roundish	orbicular
ovate-circular	ovate-orbicular
rotund	orbicular
subcordate	cordate
subensate	ensiform
sublinear	linear
semicircular	orbicular
semi-circular	orbicular
ovate-suborbicular	ovate-orbicular
subcuneate	cuneate
pentagonal	polygonal
septagonal	polygonal
pentangular	polygonal
angular-orbiculate	polygonal
orbicular-pentagonal	polygonal
rectangular	rhomboid
subobovate	obovate
navicular	cymbiform
keeled	cymbiform
liguliform	ligulate
semi-orbicular	orbicular
semiorbicular	orbicular
deltate	deltoid
subdeltoid	deltoid
sublanceolate	lanceolate
cup-shaped	cupulate
acutish	acute
heart-shaped	cordate
pear-shaped	pyriform
saucerlike	saucer-shaped
cupular	cupulate
villose	villous
corymbose cymes	corymbs
corymbose	corymbs
corymbiform	corymbs
paniculate cymes	panicles
spicate	spikes
spiciform	spikes
corymbose panicles	corymbs
spicate thyrses	thyrses
subcorymbose	corymbs
corymbose-paniculate	corymbs
corymbiform panicles	corymbs
cymose-corymbiform	corymbs
paniculate-corymbiform	corymbs
spicate-paniculate	panicles
racemose thyrses	thyrses
thyrsoid panicle	thyrses
paniculate	panicles
cymose	cymes
racemiform cymes	cymes
spicate racemes	spikes
corymbiform cymes	corymbs
thyrsoid	thyrses
subpaniculate	panicles
thyrsoid	thyrses
pinkish	pink
lilac	purple
whitish	white
yellowish	yellow
reddish	red
greenish	green
golden-yellow	yellow
crimson	red
cream	white
sulphur-yellow	yellow
rose-coloured	pink
rose	pink
brownish	brown
lemon	yellow
creamy	cream
salmon-pink	orange-pink
violet	purple
ivory-white	white
pink-violet	pink-purple
ivory	white
straw-colored	yellow
lavendar	purple
violetish	purple
purplish	purple
glaucous-pink	pink
olive-green	green
stramineous	yellow
grey-green	green
deep rose-coloured	
maroon	red-brown
gray-green	green
lavender	purple
purpleish	purple
scarlet	red
